n;rounds;time
100;23;0.000022583
100;23;0.000022682
100;27;0.000022964
100;28;0.000023574
100;25;0.000023394
100;25;0.000022142
100;22;0.000022382
100;21;0.000022161
100;24;0.000022984
100;26;0.000022612
100;25;0.000021951
100;28;0.000022713
100;25;0.000022442
100;27;0.000022483
100;27;0.000022512
100;26;0.000022452
100;23;0.000021921
100;24;0.000021781
100;25;0.000022212
100;26;0.000022452
100;26;0.000021771
100;28;0.000040646
100;23;0.000031439
100;29;0.000032321
100;21;0.000032882
100;27;0.000030377
100;26;0.000024606
100;28;0.000025699
100;27;0.000031269
100;27;0.000024856
100;21;0.000023695
100;23;0.000028413
100;22;0.00003183
100;22;0.000024867
100;26;0.000023765
100;23;0.000022692
100;27;0.000023214
100;24;0.000029475
100;27;0.00002709
100;19;0.000023644
100;28;0.000022733
100;23;0.000022933
100;28;0.000023073
100;23;0.000022292
100;25;0.000022813
100;23;0.000060955
100;25;0.000024325
100;22;0.000023054
100;22;0.000022893
100;23;0.000022763
100;22;0.000022522
100;24;0.000027091
100;21;0.000024486
100;23;0.000022873
100;20;0.000022953
100;21;0.000022563
100;22;0.000022522
100;27;0.000022833
100;20;0.000023013
100;17;0.000024276
100;21;0.000030437
100;24;0.000029726
100;23;0.000029525
100;19;0.000022682
100;21;0.000021921
100;21;0.000023515
100;20;0.000023143
100;24;0.000022172
100;20;0.000021701
100;23;0.000022372
100;20;0.000021871
100;19;0.00002153
100;22;0.000022583
100;19;0.00002143
100;21;0.000021531
100;21;0.000021941
100;19;0.00002133
100;19;0.00002135
100;25;0.000022252
100;26;0.000022242
100;26;0.000023224
100;20;0.000027121
100;27;0.000024266
100;22;0.000024325
100;26;0.000023244
100;23;0.000023314
100;23;0.000022763
100;24;0.000022692
100;21;0.000022523
100;21;0.000022171
100;21;0.000021941
100;21;0.000021851
100;24;0.000022252
100;23;0.000021741
100;22;0.000023163
100;18;0.000021611
100;22;0.000022001
100;28;0.000022172
100;21;0.000022252
100;22;0.000022432
100;29;0.000022703
100;20;0.000021981
100;24;0.000022372
100;24;0.00002124
100;20;0.000021541
100;20;0.000021751
100;18;0.00002165
100;23;0.000022232
100;20;0.000022242
100;19;0.000021981
100;25;0.000038162
100;24;0.000026881
100;25;0.000025217
100;17;0.000023785
100;23;0.000023354
100;25;0.000024746
100;26;0.000023645
100;27;0.000023394
100;22;0.000023283
100;24;0.000022682
100;19;0.000022412
100;29;0.000023154
100;22;0.000022542
100;22;0.000022883
100;25;0.000022563
100;24;0.000022352
100;22;0.000022843
100;22;0.000021841
100;21;0.000022993
100;25;0.000023043
100;27;0.000023514
100;23;0.000022282
100;24;0.000022472
100;23;0.000022492
100;26;0.000084128
100;19;0.000023224
100;25;0.000022903
100;22;0.000023304
100;24;0.000022743
100;18;0.00002165
100;19;0.000022413
100;23;0.000025378
100;23;0.000025187
100;18;0.000024475
100;22;0.000023854
100;20;0.000024256
100;23;0.000024416
100;21;0.000022993
100;24;0.000045997
100;19;0.000026249
100;19;0.000023735
100;24;0.000023524
100;27;0.000023234
100;19;0.000023133
100;18;0.000023194
100;21;0.000023073
100;23;0.000037591
100;24;0.000024857
100;22;0.000024626
100;21;0.000023745
100;20;0.000022963
100;19;0.000023895
100;19;0.000023344
100;20;0.000023564
100;23;0.000022983
100;24;0.000023284
100;17;0.000023073
100;25;0.000023094
100;19;0.000022212
100;21;0.000022512
100;19;0.000023043
100;19;0.000025037
100;24;0.000025508
100;21;0.000024166
100;18;0.000023013
100;17;0.000022623
100;20;0.000023103
100;17;0.000023054
100;19;0.000037019
100;26;0.000025057
100;18;0.000022783
100;23;0.000037621
100;25;0.000025448
100;20;0.000024215
100;18;0.000023424
100;24;0.000023394
100;23;0.000023495
100;25;0.000023394
100;19;0.000023063
100;20;0.000023133
100;22;0.000022753
100;24;0.000023404
100;23;0.000023144
100;22;0.000023143
100;22;0.000022653
100;20;0.000022642
100;22;0.000022552
100;21;0.000022773
100;19;0.000022743
100;21;0.000022812
100;22;0.000022943
100;26;0.000025648
100;21;0.000024506
100;30;0.000025047
100;30;0.000024256
100;25;0.000023744
100;25;0.000038843
100;25;0.000024206
100;25;0.000023524
100;26;0.000022943
100;26;0.000022402
100;24;0.000023073
100;30;0.000023704
100;32;0.000023514
100;27;0.000022993
100;22;0.000023073
100;33;0.000023795
100;25;0.000022933
100;28;0.000022963
100;31;0.000023253
100;31;0.000023484
100;23;0.000023044
100;24;0.000022422
100;33;0.000022973
100;27;0.000023023
100;27;0.000023685
100;24;0.000022803
100;25;0.000022212
100;34;0.000023173
100;23;0.000022773
100;30;0.000023164
100;21;0.000024536
100;24;0.000040416
100;24;0.000024787
100;20;0.000023414
100;21;0.000023294
100;20;0.000024366
100;18;0.000022312
100;24;0.000023123
100;22;0.000022342
100;24;0.000022382
100;21;0.000023054
100;17;0.000022161
100;23;0.000022502
100;21;0.000022051
100;26;0.000022984
100;23;0.000022031
100;24;0.000022182
100;22;0.000021891
100;22;0.00002155
100;23;0.000021982
100;19;0.000022342
100;19;0.0000212
100;22;0.000022432
100;22;0.000022232
100;21;0.000021981
100;24;0.000021891
100;21;0.000022062
100;21;0.000022011
100;22;0.000021571
100;19;0.00002156
100;21;0.000026921
100;21;0.000025918
100;28;0.000024536
100;27;0.000023684
100;21;0.000023645
100;19;0.000023444
100;20;0.000022943
100;20;0.000023494
100;23;0.000023104
100;19;0.000022682
100;24;0.000023194
100;19;0.000023053
100;23;0.000023274
100;21;0.000021931
100;24;0.000023003
100;25;0.000023784
100;18;0.000023314
100;23;0.000022973
100;25;0.000023154
100;29;0.000024255
100;22;0.000023855
100;21;0.000023234
100;20;0.000023354
100;25;0.000022963
100;21;0.000022813
100;27;0.000023284
100;20;0.000023454
100;20;0.000022793
100;19;0.000029335
100;18;0.000024115
100;27;0.000027041
100;26;0.000025207
100;30;0.000025498
100;23;0.000024055
100;30;0.000023725
100;23;0.000023194
100;30;0.000023123
100;26;0.000022953
100;21;0.000022382
100;22;0.000022683
100;21;0.000022753
100;25;0.000023414
100;20;0.000022602
100;24;0.000023334
100;22;0.000022082
100;30;0.000022903
100;21;0.000022923
100;24;0.000022643
100;27;0.000022833
100;31;0.000023554
100;25;0.000023133
100;23;0.000022643
100;22;0.000022773
100;24;0.000023113
100;24;0.000022663
100;24;0.000022743
100;24;0.000022532
100;27;0.000022953
100;24;0.000022723
100;22;0.000022372
100;24;0.00002664
100;31;0.000025017
100;25;0.000023835
100;25;0.000022943
100;22;0.000023605
100;25;0.000023294
100;27;0.000023263
100;23;0.000023024
100;32;0.000023283
100;27;0.000022853
100;29;0.000023825
100;33;0.000022873
100;29;0.000022482
100;30;0.000023694
100;29;0.000022873
100;25;0.000023164
100;21;0.000022863
100;26;0.000022482
100;24;0.000022643
100;31;0.000022923
100;23;0.000023303
100;21;0.000022782
100;24;0.000022743
100;28;0.000023284
100;33;0.000022963
100;31;0.000022963
100;26;0.000022973
100;21;0.000022542
100;30;0.000022783
100;32;0.00003742
100;28;0.000026269
100;24;0.000024657
100;20;0.000023945
100;22;0.000023223
100;25;0.000023605
100;27;0.000023153
100;25;0.000023184
100;27;0.000023284
100;26;0.000022973
100;24;0.000023133
100;21;0.000022603
100;23;0.000022532
100;28;0.000023484
100;25;0.000022723
100;26;0.000023294
100;20;0.000022282
100;24;0.000022733
100;28;0.000023113
100;23;0.000023484
100;23;0.000023034
100;21;0.000022722
100;20;0.000022563
100;26;0.000022642
100;23;0.000022994
100;24;0.00003717
100;20;0.000030146
100;26;0.000029536
100;25;0.000076764
100;21;0.000023404
100;22;0.000023033
100;26;0.000033714
100;25;0.000029896
100;22;0.000031289
100;27;0.000030257
100;21;0.000029145
100;22;0.000029715
100;25;0.000030316
100;24;0.000028874
100;22;0.000028273
100;25;0.000029636
100;20;0.000028553
100;26;0.000027682
100;22;0.000048742
100;26;0.000029435
100;24;0.000029015
100;22;0.000027502
100;20;0.000027862
100;18;0.000028794
100;24;0.000028985
100;19;0.000029375
100;22;0.000028924
100;20;0.000029616
100;25;0.000030107
100;22;0.000029184
100;23;0.000028613
100;23;0.000028484
100;23;0.000029425
100;22;0.000028343
100;23;0.000027601
100;19;0.000029486
100;21;0.000034013
100;20;0.00003211
100;22;0.000032912
100;17;0.000031699
100;18;0.000031679
100;22;0.000030618
100;20;0.000029295
100;17;0.000029685
100;21;0.000029234
100;19;0.00002712
100;17;0.000030276
100;19;0.000028713
100;23;0.000030067
100;18;0.000029385
100;19;0.000028533
100;20;0.000027732
100;18;0.000030377
100;18;0.000029105
100;16;0.000029045
100;21;0.000030778
100;20;0.000027662
100;16;0.000022121
100;20;0.000022903
100;21;0.000022783
100;20;0.000023404
100;19;0.000022282
100;19;0.000022422
100;18;0.000022092
100;20;0.000022863
100;21;0.000022773
100;19;0.000026229
100;22;0.000024396
100;17;0.000024326
100;21;0.000023384
100;22;0.000023153
100;20;0.000022503
100;22;0.000021821
100;19;0.000022392
100;22;0.000022732
100;26;0.000022733
100;21;0.000022382
100;24;0.000022933
100;22;0.000022232
100;22;0.000022082
100;24;0.000021991
100;21;0.000021821
100;20;0.000022573
100;22;0.000021761
100;27;0.000022652
100;22;0.000022252
100;21;0.000021951
100;20;0.000021571
100;21;0.000022101
100;20;0.000021841
100;19;0.000021861
100;20;0.000021991
100;21;0.000022282
100;21;0.000022051
100;21;0.000021841
100;21;0.000022372
100;20;0.000026961
100;23;0.000024767
100;19;0.000023975
100;19;0.000023564
100;18;0.000023364
100;17;0.000022753
100;20;0.000022983
100;16;0.000022552
100;21;0.000023144
100;16;0.000023604
100;21;0.000023474
100;21;0.000023374
100;19;0.000022603
100;20;0.000022612
100;21;0.000023054
100;16;0.000022212
100;21;0.000022432
100;21;0.000022572
100;15;0.000022703
100;22;0.000022813
100;21;0.000022592
100;19;0.000022763
100;17;0.000022212
100;17;0.000022512
100;20;0.000022513
100;19;0.000022983
100;19;0.000022793
100;17;0.000035897
100;18;0.000023895
100;20;0.000022743
100;24;0.000025317
100;21;0.0000265
100;23;0.000024556
100;23;0.000025007
100;27;0.000024506
100;22;0.000023864
100;21;0.000022883
100;29;0.000023475
100;23;0.000022842
100;25;0.000022953
100;24;0.000022712
100;24;0.000023495
100;26;0.000024165
100;20;0.000023594
100;20;0.000023374
100;21;0.000023454
100;32;0.000023584
100;28;0.000023855
