n;rounds;depth;time
100;19;18;0.000024917
100;18;15;0.000024807
100;20;19;0.000024876
100;16;13;0.000024305
100;15;12;0.000024115
100;21;20;0.000025027
100;20;17;0.000024657
100;20;19;0.000024586
100;18;14;0.000027942
100;20;18;0.00002657
100;23;19;0.000025748
100;22;18;0.000024606
100;18;14;0.000023965
100;17;13;0.000023514
100;22;18;0.000023754
100;21;17;0.000024445
100;20;18;0.000024997
100;20;17;0.000025188
100;15;11;0.000024305
100;21;19;0.000025218
100;20;18;0.000023934
100;14;12;0.000024305
100;19;17;0.000024366
100;19;16;0.000023965
100;21;19;0.000024636
100;17;13;0.000024877
100;20;17;0.000024476
100;16;14;0.000024295
100;17;15;0.000023474
100;20;18;0.000023824
100;19;17;0.000024246
100;16;12;0.000024115
100;17;15;0.000023805
100;19;17;0.000024185
100;20;17;0.000040927
100;15;11;0.000026239
100;20;18;0.000025368
100;15;13;0.000023724
100;22;21;0.000033873
100;24;23;0.000033122
100;29;28;0.000026199
100;29;28;0.00002654
100;23;22;0.000025948
100;30;29;0.000025789
100;20;19;0.000025498
100;22;21;0.000024876
100;17;16;0.000024577
100;27;26;0.000025277
100;27;26;0.000024857
100;30;29;0.000025077
100;20;19;0.000024967
100;26;25;0.000024786
100;26;25;0.000024777
100;31;30;0.000024706
100;27;26;0.000024195
100;28;27;0.000041297
100;28;27;0.000026079
100;19;18;0.000024987
100;27;26;0.000025077
100;25;24;0.000024556
100;25;24;0.000024987
100;19;18;0.000025127
100;31;30;0.000024927
100;23;22;0.000024316
100;23;22;0.000024205
100;21;20;0.000024085
100;20;19;0.000024296
100;21;20;0.000024476
100;23;22;0.000027171
100;26;25;0.00002648
100;22;21;0.00002691
100;19;18;0.000025999
100;24;23;0.000025247
100;23;22;0.000025648
100;19;18;0.000024425
100;19;18;0.000024446
100;19;18;0.000025067
100;25;24;0.000025268
100;21;20;0.000041888
100;23;22;0.00002652
100;27;26;0.000025528
100;22;21;0.000025177
100;24;23;0.000027392
100;23;22;0.000027441
100;23;22;0.000024917
100;22;21;0.000025257
100;17;15;0.000025137
100;21;20;0.000025097
100;22;21;0.000025297
100;22;21;0.000025158
100;28;27;0.000025317
100;24;23;0.000024937
100;19;18;0.000024586
100;25;24;0.000024797
100;26;25;0.000025317
100;17;16;0.000025017
100;20;19;0.000025528
100;26;25;0.000025388
100;29;28;0.000047309
100;24;23;0.000036819
100;23;22;0.00003725
100;18;17;0.000028514
100;32;31;0.000036518
100;20;19;0.000035136
100;19;18;0.000046548
100;21;20;0.000027261
100;21;20;0.00002674
100;20;19;0.000024646
100;22;21;0.000025338
100;19;18;0.000024466
100;20;19;0.000024396
100;25;24;0.000024506
100;21;20;0.000024776
100;21;20;0.000024156
100;28;27;0.000025127
100;19;18;0.000024746
100;24;23;0.000024977
100;18;17;0.000024426
100;25;24;0.000025007
100;19;18;0.000024786
100;20;19;0.000024395
100;21;20;0.000024226
100;23;22;0.000025047
100;18;17;0.000024225
100;18;17;0.000023945
100;23;22;0.000024466
100;19;18;0.000024216
100;22;21;0.000024175
100;23;21;0.000028384
100;21;20;0.0000267
100;19;17;0.000026009
100;23;21;0.00002682
100;20;18;0.000025127
100;22;20;0.000025328
100;20;18;0.000025488
100;24;22;0.000025517
100;15;13;0.000025026
100;21;19;0.000024986
100;19;17;0.000024516
100;21;19;0.000024717
100;26;25;0.000025297
100;23;22;0.000024767
100;23;22;0.000024255
100;22;20;0.000025027
100;23;21;0.000024957
100;19;18;0.000024166
100;20;19;0.000024646
100;16;14;0.000024055
100;18;16;0.000023644
100;23;21;0.000024436
100;25;23;0.000024446
100;24;22;0.000024937
100;23;21;0.000024766
100;18;16;0.000024145
100;17;15;0.000024686
100;22;20;0.000023945
100;21;19;0.000024165
100;18;16;0.000024315
100;20;19;0.000024606
100;15;13;0.000023174
100;19;18;0.000021681
100;19;18;0.0000216
100;20;19;0.00002152
100;20;19;0.00002146
100;21;20;0.000020709
100;23;21;0.0000214
100;19;18;0.000019947
100;16;15;0.000019757
100;16;14;0.000019918
100;25;24;0.000020448
100;18;17;0.000020038
100;20;19;0.000019637
100;19;17;0.000020318
100;18;16;0.000019997
100;19;18;0.000020158
100;20;19;0.000020759
100;19;17;0.000020659
100;20;18;0.000020428
100;19;18;0.000020188
100;18;17;0.000019817
100;14;13;0.000019707
100;17;16;0.000019838
100;26;24;0.000020568
100;17;15;0.000020138
100;23;22;0.000020118
100;21;19;0.000020027
100;20;18;0.000020108
100;17;16;0.000020318
100;23;20;0.000022973
100;21;18;0.000021681
100;18;16;0.00002105
100;17;14;0.000019656
100;20;17;0.000019646
100;22;19;0.000019697
100;18;15;0.000019527
100;24;22;0.000019547
100;22;19;0.000019306
100;21;18;0.000019787
100;24;21;0.000019517
100;23;20;0.000018915
100;19;16;0.000019347
100;24;21;0.000019095
100;19;16;0.000018756
100;16;13;0.000018875
100;23;20;0.000019146
100;19;16;0.000018685
100;25;22;0.000019056
100;17;14;0.000018996
100;20;18;0.000019366
100;17;15;0.000019416
100;21;18;0.000019166
100;19;16;0.000018826
100;21;18;0.000019035
100;20;17;0.000018906
100;21;18;0.000018996
100;22;19;0.000018745
100;24;21;0.000019066
100;18;15;0.000019055
100;18;16;0.000022703
100;29;27;0.0000215
100;27;25;0.000019937
100;26;24;0.000020499
100;22;20;0.000019777
100;29;27;0.000020008
100;18;16;0.000019326
100;27;25;0.000019406
100;25;23;0.000018755
100;23;21;0.000019466
100;28;26;0.000019406
100;26;24;0.000018805
100;19;17;0.000018995
100;23;21;0.000018805
100;27;25;0.000018975
100;25;23;0.000019597
100;21;19;0.000018996
100;22;20;0.000020318
100;21;19;0.000019757
100;21;19;0.000019066
100;24;22;0.000019126
100;24;22;0.000018945
100;20;18;0.000018986
100;27;25;0.000018665
100;20;18;0.000019136
100;25;23;0.000018996
100;22;20;0.000019216
100;27;25;0.000019076
100;27;25;0.000018985
100;30;28;0.000018735
100;18;16;0.000025237
100;23;22;0.00002111
100;23;21;0.000020949
100;16;13;0.00002109
100;20;18;0.000020288
100;17;15;0.000019487
100;19;16;0.000020217
100;19;18;0.000019897
100;24;23;0.000019877
100;21;18;0.000019707
100;25;23;0.000019727
100;16;15;0.000019186
100;19;17;0.000019387
100;19;17;0.000019376
100;19;18;0.000019286
100;26;24;0.000019587
100;23;22;0.000019066
100;17;14;0.000018995
100;20;17;0.000019847
100;21;19;0.000019336
100;17;16;0.000018665
100;18;15;0.000019336
100;17;16;0.000018655
100;18;15;0.000019086
100;18;15;0.000018916
100;21;20;0.000019186
100;17;14;0.000019116
100;20;19;0.000018755
100;23;21;0.000019436
100;15;14;0.000018766
100;22;21;0.000022602
100;24;23;0.000020709
100;20;19;0.000020248
100;21;20;0.000020138
100;21;20;0.000020028
100;19;18;0.000022622
100;21;20;0.000021831
100;16;15;0.000018916
100;23;22;0.000019065
100;16;15;0.000019457
100;16;15;0.000018795
100;17;16;0.000019337
100;17;16;0.000018865
100;15;14;0.000019196
100;18;17;0.000018926
100;15;14;0.000018775
100;15;14;0.000018835
100;22;21;0.000019296
100;19;18;0.000019357
100;20;19;0.000019416
100;23;22;0.000019577
100;19;18;0.000019557
100;14;13;0.000018655
100;19;18;0.000019446
100;14;13;0.000018645
100;16;15;0.000018725
100;17;16;0.000018896
100;19;18;0.000019446
100;15;14;0.000018886
100;18;17;0.000019016
100;24;22;0.000033273
100;18;16;0.000022362
100;14;12;0.000020568
100;22;20;0.000020609
100;20;18;0.000019406
100;19;17;0.000019416
100;21;19;0.000019987
100;18;16;0.000019547
100;18;16;0.000019286
100;16;14;0.000019186
100;19;17;0.000019186
100;17;15;0.000018886
100;16;13;0.000019406
100;23;21;0.000019287
100;15;13;0.000019155
100;20;18;0.000018955
100;15;13;0.000019206
100;16;14;0.000018385
100;17;15;0.000019486
100;20;18;0.000019046
100;22;20;0.000019416
100;18;16;0.000018835
100;20;18;0.000018945
100;20;18;0.000018926
100;18;16;0.000019406
100;19;17;0.000019236
100;22;20;0.000030146
100;19;17;0.000018845
100;15;13;0.000019286
100;18;16;0.000019106
100;28;26;0.000022232
100;23;21;0.00002154
100;26;24;0.000020428
100;22;20;0.000033893
100;33;31;0.000020909
100;22;20;0.000020409
100;25;23;0.000020107
100;23;21;0.000019807
100;28;26;0.000020268
100;31;29;0.000020538
100;23;21;0.000019837
100;30;28;0.000019867
100;28;26;0.000020027
100;19;17;0.000019888
100;31;29;0.000020218
100;31;29;0.000019907
100;31;29;0.000019938
100;24;22;0.000020378
100;25;23;0.000020087
