n;rounds;depth;time
100;17;14;0.000018896
100;19;17;0.000019196
100;22;20;0.000018945
100;17;15;0.000018746
100;20;17;0.000019326
100;20;18;0.000019276
100;24;22;0.000019336
100;24;21;0.000019427
100;22;21;0.000023263
100;19;18;0.000021731
100;20;19;0.00002104
100;20;19;0.000019867
100;20;19;0.000019627
100;22;21;0.000019747
100;18;17;0.000019046
100;21;20;0.000019666
100;21;20;0.000019757
100;22;20;0.000020147
100;16;15;0.000018965
100;19;18;0.000018936
100;23;22;0.000019546
100;21;19;0.000019166
100;19;18;0.000019186
100;23;21;0.000019818
100;20;18;0.000019466
100;16;15;0.000019116
100;22;20;0.000019026
100;19;17;0.000019476
100;21;19;0.000019126
100;21;19;0.000019567
100;21;20;0.000019987
100;20;19;0.000019266
100;17;16;0.000019045
100;18;17;0.000019377
100;17;15;0.000019476
100;20;18;0.000019016
100;15;13;0.000019036
100;15;14;0.000018805
100;16;15;0.000022031
100;20;18;0.000023444
100;27;26;0.000019848
100;21;20;0.000020278
100;26;24;0.000019927
100;19;17;0.000019727
100;21;20;0.000019507
100;25;23;0.000019607
100;26;24;0.000019145
100;26;24;0.000019316
100;22;21;0.000019086
100;18;17;0.000019216
100;27;25;0.000019055
100;20;19;0.000018856
100;24;22;0.000019306
100;23;22;0.000019076
100;21;19;0.000019496
100;27;25;0.000019526
100;22;21;0.000018856
100;25;23;0.000019226
100;25;24;0.000019356
100;22;20;0.000019076
100;21;20;0.000018915
100;21;19;0.000018956
100;23;21;0.000018815
100;22;20;0.000018735
100;24;22;0.000018726
100;29;27;0.000019396
100;26;24;0.000019386
100;25;23;0.000018906
100;17;14;0.000022262
100;21;20;0.00002155
100;23;20;0.000020779
100;15;12;0.000019867
100;18;15;0.000019778
100;18;17;0.000022502
100;19;18;0.000022242
100;19;18;0.000019676
100;18;17;0.000019376
100;23;22;0.000019587
100;18;15;0.000019436
100;17;14;0.000019116
100;17;16;0.000019386
100;17;16;0.000018815
100;22;21;0.000019396
100;17;16;0.000018765
100;19;16;0.000019878
100;24;21;0.000019997
100;20;17;0.000019677
100;19;16;0.000019076
100;24;21;0.000019216
100;23;20;0.000018996
100;16;13;0.000019086
100;23;22;0.000019256
100;16;13;0.000019146
100;21;20;0.000019546
100;15;12;0.000018736
100;20;17;0.000019286
100;21;20;0.000019737
100;16;15;0.000019276
100;25;24;0.000023183
100;32;28;0.000022062
100;28;27;0.000021179
100;31;30;0.000020389
100;29;28;0.000020137
100;28;27;0.000020659
100;29;25;0.000020589
100;30;29;0.000020228
100;23;19;0.000019637
100;31;30;0.000020047
100;30;29;0.000020018
100;28;24;0.000020468
100;19;18;0.000019206
100;30;26;0.000019858
100;22;18;0.000019466
100;21;20;0.000019176
100;32;28;0.000019647
100;34;30;0.000019807
100;26;25;0.000019457
100;31;27;0.000019476
100;29;28;0.000020218
100;29;25;0.000019968
100;28;24;0.000019957
100;23;19;0.000019848
100;22;18;0.000019426
100;29;28;0.000020539
100;31;30;0.000030817
100;32;31;0.000021029
100;21;17;0.000019967
100;28;24;0.000020018
100;16;14;0.000036148
100;26;24;0.000025658
100;29;27;0.000020759
100;27;25;0.000020278
100;23;21;0.000019657
100;20;18;0.000019356
100;29;27;0.000020248
100;23;21;0.000019587
100;28;26;0.000019607
100;28;26;0.000064301
100;18;16;0.000020528
100;26;24;0.000019657
100;25;23;0.000019527
100;26;24;0.000019146
100;26;24;0.000019546
100;23;21;0.000018826
100;25;23;0.000019757
100;22;20;0.000019416
100;24;22;0.000019036
100;26;24;0.000019166
100;18;16;0.000019286
100;27;25;0.000018946
100;27;25;0.000019416
100;22;20;0.000018705
100;29;27;0.000019307
100;24;22;0.000019065
100;27;25;0.000019196
100;26;24;0.000019026
100;24;22;0.000019126
100;29;27;0.000019567
100;20;18;0.000034164
100;17;16;0.000022432
100;21;20;0.00002137
100;18;17;0.000019707
100;28;27;0.000020719
100;17;16;0.000020088
100;22;20;0.000020488
100;18;16;0.000020639
100;21;19;0.00002125
100;22;20;0.000020909
100;25;24;0.000022943
100;25;24;0.000021982
100;17;15;0.000019456
100;24;22;0.000019707
100;20;19;0.000019677
100;23;21;0.000019376
100;20;19;0.000019406
100;25;24;0.000020298
100;25;23;0.000019697
100;16;15;0.000019396
100;17;16;0.000019537
100;26;24;0.000020208
100;18;17;0.000019096
100;22;21;0.000019767
100;26;24;0.000019727
100;21;19;0.000019787
100;25;24;0.000019667
100;20;18;0.000019727
100;22;20;0.000019647
100;25;23;0.000019667
100;14;11;0.00002135
100;20;19;0.000020639
100;19;18;0.000032451
100;18;16;0.00002138
100;21;19;0.000020078
100;15;14;0.000019386
100;15;13;0.000019517
100;18;17;0.000019016
100;20;18;0.000019496
100;19;17;0.000019677
100;20;18;0.000019497
100;20;19;0.000019266
100;16;15;0.000019206
100;19;18;0.000022132
100;17;16;0.000021109
100;17;15;0.000019036
100;23;21;0.000019747
100;18;16;0.000018725
100;22;21;0.000019276
100;19;17;0.000018756
100;16;14;0.000018895
100;20;19;0.000019306
100;15;14;0.000019016
100;24;22;0.000019527
100;19;18;0.000019246
100;14;12;0.000018765
100;17;15;0.000018455
100;20;19;0.000018725
100;18;16;0.000019426
100;20;19;0.000019317
100;23;20;0.000020849
100;24;19;0.000020979
100;22;19;0.000020088
100;24;21;0.000019737
100;21;18;0.000019677
100;26;21;0.000020108
100;21;16;0.000033052
100;24;21;0.000021029
100;24;21;0.000019968
100;22;19;0.000019587
100;21;16;0.000019506
100;19;16;0.000019246
100;22;19;0.000019076
100;24;21;0.000018715
100;18;15;0.000018816
100;27;24;0.000019817
100;20;15;0.000019426
100;24;19;0.000019968
100;25;22;0.00002155
100;27;22;0.000022222
100;25;22;0.000019627
100;24;21;0.000019246
100;23;20;0.000019226
100;22;19;0.000019447
100;22;19;0.000019206
100;29;24;0.000019586
100;22;19;0.000018956
100;22;17;0.000019386
100;21;18;0.000019387
100;25;20;0.000019316
100;19;17;0.000021109
100;16;15;0.000020187
100;17;16;0.000019046
100;14;12;0.000019336
100;19;18;0.000019337
100;20;18;0.000019637
100;16;15;0.000018735
100;14;12;0.000019376
100;18;17;0.000019256
100;19;17;0.000019146
100;17;15;0.000032842
100;16;14;0.000020328
100;19;17;0.000019767
100;20;19;0.000019236
100;20;18;0.000019367
100;16;14;0.000019085
100;20;18;0.000018835
100;21;20;0.000019266
100;15;13;0.000019156
100;19;17;0.000019076
100;15;13;0.000018234
100;16;15;0.000020879
100;15;13;0.000021541
100;18;17;0.000018915
100;15;14;0.000018084
100;18;17;0.000018375
100;15;14;0.000018304
100;21;19;0.000019296
100;20;19;0.000018545
100;17;16;0.000018895
100;22;20;0.00002144
100;19;18;0.000020478
100;27;25;0.000020649
100;22;21;0.000020318
100;25;23;0.000019737
100;19;17;0.000019657
100;27;25;0.000019907
100;23;21;0.000020048
100;23;22;0.000019877
100;27;26;0.000019888
100;21;20;0.000019747
100;22;21;0.000019416
100;25;23;0.000019507
100;30;28;0.000019767
100;17;15;0.000063248
100;22;20;0.000020768
100;24;22;0.000019838
100;27;26;0.000019637
100;17;15;0.000019206
100;24;23;0.000020208
100;24;22;0.000019737
100;17;16;0.000019196
100;24;23;0.000019807
100;26;24;0.000019506
100;22;21;0.000019246
100;24;22;0.000019196
100;26;25;0.000019526
100;25;23;0.000019377
100;22;20;0.000018885
100;25;24;0.000019627
100;24;21;0.000021009
100;20;17;0.000020379
100;32;29;0.000020227
100;27;24;0.000020538
100;25;22;0.000019427
100;24;21;0.000020147
100;18;15;0.000018996
100;26;23;0.000019617
100;31;28;0.000019436
100;25;22;0.000019457
100;24;21;0.000019116
100;29;26;0.000019246
100;19;16;0.000018945
100;32;29;0.000019656
100;21;18;0.000019417
100;28;25;0.000019466
100;26;23;0.000033844
100;32;29;0.000020578
100;25;22;0.000019516
100;21;18;0.000019427
100;26;23;0.000018945
100;29;26;0.000018846
100;18;15;0.000019186
100;27;24;0.000019676
100;30;27;0.000029545
100;28;25;0.000019426
100;25;22;0.000020008
100;24;21;0.000020008
100;26;23;0.000019426
100;22;19;0.000019617
100;19;18;0.00002135
100;17;15;0.000020378
100;20;18;0.000020308
100;16;14;0.000018926
100;14;12;0.000019176
100;20;19;0.000019206
100;20;18;0.000019256
100;21;20;0.000019146
100;19;18;0.000019016
100;18;17;0.000018354
100;19;17;0.000019427
100;18;16;0.000018795
100;13;12;0.000019046
100;19;18;0.000018504
100;15;14;0.000018535
100;19;17;0.000019206
100;18;16;0.000018866
100;16;14;0.000018855
100;19;17;0.000030107
100;21;20;0.000020588
100;16;15;0.000019066
100;15;14;0.000018755
100;15;13;0.000018194
100;16;15;0.000018746
100;19;18;0.000019266
100;18;17;0.000018805
100;20;19;0.000018866
100;21;20;0.000018965
100;23;21;0.000021561
100;13;11;0.000021009
100;22;19;0.000020879
100;20;17;0.000020198
100;17;14;0.000019587
100;19;15;0.000019466
100;19;16;0.000019106
100;18;15;0.000019206
100;14;10;0.000018354
100;18;15;0.000018594
100;22;19;0.000018395
100;16;13;0.000018565
100;15;12;0.000017933
100;20;17;0.000018414
100;21;18;0.000018705
100;19;15;0.000018695
100;17;13;0.000018395
100;18;14;0.000018214
100;17;14;0.000018515
100;22;18;0.000018414
100;17;14;0.000018435
100;21;18;0.000018835
100;21;18;0.000018926
100;21;18;0.000018565
100;22;19;0.000018755
100;15;12;0.000031479
100;22;18;0.000019927
100;20;16;0.000018795
100;21;18;0.000019697
100;18;15;0.000018825
100;22;18;0.000018755
100;19;15;0.000018345
100;22;20;0.000020889
100;28;26;0.000020568
100;33;31;0.000020237
100;22;20;0.000020528
100;23;21;0.000020068
100;28;26;0.000019907
100;29;27;0.000019597
100;20;18;0.000019126
100;31;29;0.000019106
100;21;19;0.000019927
100;23;21;0.000019958
100;24;22;0.000019356
100;28;26;0.000020098
100;32;30;0.000019807
100;20;18;0.000019156
100;26;24;0.000019446
100;21;19;0.000019306
100;27;25;0.000019175
100;24;22;0.000018875
100;24;22;0.000019136
100;31;29;0.000019967
100;23;21;0.000018906
100;21;19;0.000019256
100;26;24;0.000019356
100;28;26;0.000018866
100;22;20;0.000018915
100;20;18;0.000018585
100;23;21;0.000034234
100;32;30;0.000020678
100;18;16;0.000018966
100;21;20;0.000020759
100;23;22;0.000020749
100;19;18;0.000019837
100;20;16;0.000020328
100;20;19;0.000020308
100;17;16;0.000022332
100;16;15;0.000022071
100;18;13;0.000022902
100;19;14;0.000019236
100;21;17;0.000019797
100;23;19;0.000019166
100;19;15;0.000018845
100;22;17;0.000019467
100;19;15;0.000020949
100;22;21;0.000018996
100;23;22;0.000019306
100;22;21;0.00002121
100;21;17;0.000021079
100;20;15;0.000019016
100;18;17;0.000019076
100;21;17;0.000019537
100;22;21;0.000019186
100;22;21;0.000018815
100;21;16;0.000018825
100;25;21;0.000019687
100;22;18;0.000018836
100;20;16;0.000019035
100;22;18;0.000018816
100;24;20;0.000019707
100;21;20;0.000019366
100;18;13;0.000022843
100;19;14;0.000020939
100;17;12;0.000020047
100;20;18;0.000020157
100;16;14;0.000019036
100;14;11;0.000018835
100;19;17;0.000019417
100;20;15;0.000019246
100;18;16;0.000019326
100;17;12;0.000019096
100;18;13;0.000018896
100;19;14;0.000018935
100;18;13;0.000018184
100;20;15;0.000018485
100;17;15;0.000018865
100;24;19;0.000018875
100;18;13;0.000017934
100;18;16;0.000018815
100;21;16;0.000018334
100;15;10;0.000018305
100;21;16;0.000018985
100;20;15;0.000018445
100;16;11;0.000018475
100;19;14;0.000018504
100;19;14;0.000018374
100;20;15;0.000018585
100;18;16;0.000018785
100;19;17;0.000018705
100;21;16;0.000018445
100;20;15;0.000018485
100;16;15;0.000022321
100;17;16;0.000020708
100;23;22;0.000020319
100;21;18;0.000019997
100;23;20;0.000019837
100;24;23;0.000019607
100;22;21;0.000019176
100;20;19;0.000019016
100;22;19;0.000019226
100;24;21;0.000018956
100;17;14;0.000018624
100;16;13;0.000018835
100;23;22;0.000019346
100;24;23;0.000019477
100;20;19;0.000018835
100;23;22;0.000018745
100;21;18;0.000018685
100;19;18;0.000018766
100;22;21;0.000018905
100;25;22;0.000019266
100;21;18;0.000019136
100;26;23;0.000019407
100;20;17;0.000018655
100;22;19;0.000018324
100;22;19;0.000018886
100;21;20;0.000019406
100;23;22;0.000018735
100;24;23;0.000019206
100;18;15;0.000018525
100;24;23;0.000019577
100;17;15;0.000030778
100;13;11;0.000028654
100;18;14;0.000026309
100;17;12;0.000020098
100;16;11;0.000019026
100;19;17;0.00002126
100;22;18;0.0000216
100;19;17;0.00002116
100;23;19;0.000019447
100;19;17;0.000021029
100;14;12;0.00002098
100;16;14;0.000018705
100;16;14;0.000018785
100;17;15;0.000018485
100;23;19;0.000019356
100;17;12;0.000019026
100;22;18;0.000018735
100;16;11;0.000018615
100;18;14;0.000019036
100;22;18;0.000019156
100;15;13;0.000019005
100;15;10;0.000018194
100;14;12;0.000018785
100;15;11;0.000018625
100;21;19;0.000019346
100;19;17;0.000019056
100;17;15;0.000018585
100;22;18;0.000019015
100;18;16;0.000018594
100;16;14;0.000018746
100;17;16;0.000022522
100;16;14;0.000021109
100;17;15;0.000020047
100;17;15;0.000019727
100;17;16;0.000019958
100;14;13;0.000019336
100;16;14;0.000019456
100;22;20;0.000019526
100;17;16;0.000020148
100;15;14;0.000018925
100;17;15;0.000019196
100;14;12;0.000019166
100;14;13;0.000019416
100;18;17;0.000019416
100;15;14;0.000019155
100;17;16;0.000019387
100;19;17;0.000019506
100;22;21;0.000019586
100;16;14;0.000018705
100;15;14;0.000019166
100;18;16;0.000018756
100;14;12;0.000018294
100;14;12;0.000018745
100;13;12;0.000018365
100;15;13;0.000018685
100;15;14;0.000018975
100;19;18;0.000018766
100;14;13;0.000019376
100;15;13;0.000018685
100;15;14;0.000018815
100;27;25;0.000022903
100;18;17;0.000020629
100;21;19;0.000020087
100;26;25;0.000020358
100;25;23;0.000020237
100;21;19;0.00002146
100;24;23;0.000022783
100;22;21;0.000019065
100;21;20;0.000018926
100;20;19;0.000018495
100;23;21;0.000019416
100;26;25;0.000018876
100;17;14;0.000019035
100;19;17;0.000019026
100;16;15;0.000018645
100;24;23;0.000018916
100;16;15;0.000018855
100;26;25;0.000019216
100;18;15;0.000018845
100;26;24;0.000019447
100;19;18;0.000018605
100;16;14;0.000018665
100;16;15;0.000018374
100;21;19;0.000018846
100;17;16;0.000018444
100;28;26;0.000019477
100;16;13;0.000018354
100;20;19;0.000018605
100;22;20;0.000019036
100;24;22;0.000018785
100;21;20;0.000022702
100;22;21;0.00002118
100;20;19;0.000020929
100;18;17;0.000019557
100;24;23;0.000019637
100;22;21;0.000019376
100;19;18;0.000019737
100;19;18;0.000019848
100;26;25;0.000019676
100;28;27;0.000019927
100;19;18;0.000018905
100;29;28;0.000019537
100;18;17;0.000018705
100;26;25;0.000018826
100;21;20;0.000018875
100;26;25;0.000019657
100;25;24;0.000019056
100;21;20;0.000019166
100;17;16;0.000019176
100;20;19;0.000018975
100;25;24;0.000019256
100;24;23;0.000019387
100;28;27;0.000019286
100;20;19;0.000019276
100;16;15;0.000018765
100;27;26;0.000019376
100;22;21;0.000018665
100;17;16;0.000018254
100;20;19;0.000018936
100;21;20;0.000018725
100;16;14;0.000020689
100;19;16;0.000020559
100;19;17;0.000020268
100;16;13;0.000034454
100;20;17;0.000023975
100;22;20;0.000023504
100;20;18;0.000019386
100;25;22;0.000019507
100;24;22;0.000019697
100;16;14;0.000019556
100;21;19;0.000020058
100;19;17;0.000019927
100;19;16;0.000019276
100;19;17;0.000018625
100;20;18;0.000019005
100;22;20;0.000019407
100;15;13;0.000019136
100;23;21;0.000019186
100;17;13;0.000018174
100;21;19;0.000018585
100;17;14;0.000018885
100;20;18;0.000018595
100;17;15;0.000018274
100;20;18;0.000018565
100;19;15;0.000018495
100;23;21;0.000019086
100;15;11;0.000018194
100;25;22;0.000019156
100;19;16;0.000018805
100;18;16;0.000018515
600;72;69;0.000235261
600;61;59;0.000131958
600;69;67;0.000147877
600;63;60;0.000130354
600;60;58;0.000130545
600;49;47;0.000130394
600;45;43;0.000130074
600;74;72;0.000129864
600;68;65;0.000131276
600;70;67;0.000143949
600;77;74;0.000144201
600;59;57;0.00012839
600;52;49;0.000128491
600;63;61;0.000128822
600;53;51;0.000130735
600;46;44;0.000148488
600;80;78;0.000154209
600;43;40;0.00014418
600;66;64;0.000128541
600;62;60;0.000141385
600;77;74;0.000141455
600;56;53;0.000140273
600;65;63;0.000136546
600;70;67;0.000161934
600;57;55;0.000173435
600;67;64;0.000161563
600;74;72;0.00015506
600;77;75;0.00017039
600;46;44;0.000155
600;59;56;0.000164568
600;38;36;0.000171822
600;52;50;0.000132889
600;43;41;0.000127979
600;38;36;0.000123792
600;43;41;0.000132909
600;49;47;0.0001491
600;48;46;0.000128701
600;49;47;0.00012782
600;46;44;0.000127449
600;49;47;0.000126667
600;49;47;0.000127639
600;52;50;0.000128822
600;50;48;0.0001494
600;55;53;0.000131376
600;54;52;0.000127639
